dataset_system,incident_id,root_cause_service,fault_type,repetition_id,inject_time,split,eligible
RCAEval RE2-OB,productcatalogservice_cpu/1,productcatalogservice,cpu,1,1705340542.0,catalog,True
RCAEval RE2-OB,productcatalogservice_loss/1,productcatalogservice,loss,1,1705342830.0,catalog,True
RCAEval RE2-OB,recommendationservice_cpu/1,recommendationservice,cpu,1,1705345765.0,catalog,True
RCAEval RE2-OB,recommendationservice_loss/1,recommendationservice,loss,1,1705347231.0,catalog,True
RCAEval RE2-OB,emailservice_cpu/1,emailservice,cpu,1,1705350165.0,catalog,True
RCAEval RE2-OB,emailservice_loss/1,emailservice,loss,1,1705351632.0,catalog,True
RCAEval RE2-OB,checkoutservice_cpu/1,checkoutservice,cpu,1,1705354566.0,catalog,True
RCAEval RE2-OB,productcatalogservice_mem/1,productcatalogservice,mem,1,1705357616.0,catalog,True
RCAEval RE2-OB,productcatalogservice_disk/1,productcatalogservice,disk,1,1705360699.0,catalog,True
RCAEval RE2-OB,recommendationservice_disk/1,recommendationservice,disk,1,1705366522.0,catalog,True
RCAEval RE2-OB,emailservice_disk/1,emailservice,disk,1,1705370095.0,catalog,True
RCAEval RE2-OB,checkoutservice_disk/1,checkoutservice,disk,1,1705373910.0,catalog,True
RCAEval RE2-OB,checkoutservice_loss/1,checkoutservice,loss,1,1705376266.0,catalog,True
RCAEval RE2-OB,currencyservice_disk/1,currencyservice,disk,1,1705386669.0,catalog,True
RCAEval RE2-OB,currencyservice_loss/1,currencyservice,loss,1,1705388941.0,catalog,True
RCAEval RE2-OB,productcatalogservice_socket/1,productcatalogservice,socket,1,1705392233.0,catalog,True
RCAEval RE2-OB,productcatalogservice_delay/1,productcatalogservice,delay,1,1705394578.0,catalog,True
RCAEval RE2-OB,recommendationservice_socket/1,recommendationservice,socket,1,1705398242.0,catalog,True
RCAEval RE2-OB,recommendationservice_delay/1,recommendationservice,delay,1,1705400377.0,catalog,True
RCAEval RE2-OB,recommendationservice_mem/1,recommendationservice,mem,1,1705458232.0,catalog,True
RCAEval RE2-OB,checkoutservice_mem/1,checkoutservice,mem,1,1705462070.0,catalog,True
RCAEval RE2-OB,currencyservice_mem/1,currencyservice,mem,1,1705464519.0,catalog,True
RCAEval RE2-OB,emailservice_mem/1,emailservice,mem,1,1705475505.0,catalog,True
RCAEval RE2-OB,currencyservice_socket/1,currencyservice,socket,1,1705479661.0,catalog,True
RCAEval RE2-OB,productcatalogservice_cpu/2,productcatalogservice,cpu,2,1705486848.0,catalog,True
RCAEval RE2-OB,productcatalogservice_cpu/3,productcatalogservice,cpu,3,1705489222.0,catalog,True
