method,dataset,A@1,A@3,Avg@5
Eadro,RE2-OB,0.150,0.783,0.566
Eadro,RE2-TT,0.189,0.317,0.352
Eadro,Eadro-SN,0.245,0.405,0.426
Nezha,RE2-OB,0.283,0.833,0.637
Nezha,RE2-TT,0.227,0.336,0.365
Nezha,Eadro-SN,0.111,0.456,0.379
Multi-source RCD,RE2-OB,0.493,0.795,0.781
Multi-source RCD,RE2-TT,0.143,0.454,0.408
Multi-source RCD,Eadro-SN,0.167,0.539,0.418
TORAI,RE2-OB,0.743,0.905,0.898
TORAI,RE2-TT,0.671,0.831,0.793
TORAI,Eadro-SN,0.306,0.341,0.339
ThinkFL,RE2-OB,0.483,0.893,0.792
ThinkFL,RE2-TT,0.603,0.819,0.773
ThinkFL,Eadro-SN,0.389,0.622,0.571
RCLAgent,RE2-OB,0.589,0.851,0.845
RCLAgent,RE2-TT,0.575,0.708,0.724
RCLAgent,Eadro-SN,0.194,0.341,0.333
Root-Teller,RE2-OB,0.717,0.911,0.889
Root-Teller,RE2-TT,0.835,0.899,0.914
Root-Teller,Eadro-SN,0.500,0.789,0.750
