dataset_system,incident_id,root_cause_service,fault_type,repetition_id,inject_time,metric_start,metric_end,log_start,log_end,trace_start,trace_end,common_start,common_end,pre_onset_common_duration,post_onset_common_duration,eligible,exclusion_reason
RCAEval RE2-OB,checkoutservice_cpu/1,checkoutservice,cpu,1,1705354566.0,1705353846.0,1705355286.0,1705353846.0673494,1705355285.9686377,1705353846.065,1705355285.97,1705353846.0673494,1705355285.9686377,719.9326505661011,719.9686377048492,True,
RCAEval RE2-OB,checkoutservice_cpu/2,checkoutservice,cpu,2,1708475361.0,1708474641.0,1708475570.0,1708474641.0048997,1708475533.483927,1708474641.0,1708475399.561,1708474641.0048997,1708475399.561,719.9951002597809,38.56100010871887,False,truncated common post-onset coverage (38.6 s)
RCAEval RE2-OB,checkoutservice_cpu/3,checkoutservice,cpu,3,1705623539.0,1705622819.0,1705624259.0,1705622819.0081468,1705624258.9151976,1705622819.007,1705624258.911,1705622819.0081468,1705624258.911,719.9918532371521,719.9110000133514,True,
RCAEval RE2-OB,checkoutservice_cpu/multi-source-data,checkoutservice,cpu,multi-source-data,1705354566.0,1705353846.0,1705355286.0,1705353846.0673494,1705355285.9686377,1705353846.065,1705355285.97,1705353846.0673494,1705355285.9686377,719.9326505661011,719.9686377048492,False,nonstandard extra directory; not an independent numbered repetition
RCAEval RE2-OB,checkoutservice_delay/1,checkoutservice,delay,1,1705666511.0,1705665791.0,1705667231.0,1705665791.000073,1705667230.9994743,1705665791.0,1705667231.0,1705665791.000073,1705667230.9994743,719.9999270439148,719.9994742870331,True,
RCAEval RE2-OB,checkoutservice_delay/2,checkoutservice,delay,2,1705668921.0,1705668201.0,1705669641.0,1705668201.0038884,1705669640.9857671,1705668201.0,1705669640.999,1705668201.0038884,1705669640.9857671,719.9961116313934,719.9857671260834,True,
RCAEval RE2-OB,checkoutservice_delay/3,checkoutservice,delay,3,1705671342.0,1705670622.0,1705672062.0,1705670622.0258589,1705672061.9977412,1705670622.025,1705672062.0,1705670622.0258589,1705672061.9977412,719.9741411209106,719.9977412223816,True,
RCAEval RE2-OB,checkoutservice_disk/1,checkoutservice,disk,1,1705373910.0,1705373190.0,1705374630.0,1705373190.062769,1705374629.9939613,1705373190.0,1705374629.99,1705373190.062769,1705374629.99,719.9372310638428,719.9900000095367,True,
RCAEval RE2-OB,checkoutservice_disk/2,checkoutservice,disk,2,1705765528.0,1705764808.0,1705766248.0,1705764808.0549335,1705766247.8637137,1705764808.054,1705766247.86,1705764808.0549335,1705766247.86,719.9450664520264,719.8599998950958,True,
RCAEval RE2-OB,checkoutservice_disk/3,checkoutservice,disk,3,1705767825.0,1705767105.0,1705768545.0,1705767105.0122478,1705768544.9919767,1705767105.0,1705768545.0,1705767105.0122478,1705768544.9919767,719.987752199173,719.9919767379761,True,
RCAEval RE2-OB,checkoutservice_loss/1,checkoutservice,loss,1,1705376266.0,1705375546.0,1705376986.0,1705375546.0359664,1705376985.9933455,1705375546.035,1705376985.99,1705375546.0359664,1705376985.99,719.9640336036682,719.9900000095367,True,
RCAEval RE2-OB,checkoutservice_loss/2,checkoutservice,loss,2,1705673762.0,1705673042.0,1705674482.0,1705673042.0100374,1705674481.99904,1705673042.0,1705674481.998,1705673042.0100374,1705674481.998,719.9899625778198,719.9979999065399,True,
RCAEval RE2-OB,checkoutservice_loss/3,checkoutservice,loss,3,1708489141.0,1708488421.0,1708489861.0,1708488421.033781,1708489860.995799,1708488421.033,1708489860.999,1708488421.033781,1708489860.995799,719.9662189483643,719.9957990646362,True,
RCAEval RE2-OB,checkoutservice_mem/1,checkoutservice,mem,1,1705462070.0,1705461350.0,1705462790.0,1705461350.0148637,1705462789.9508734,1705461350.015,1705462789.95,1705461350.015,1705462789.95,719.9849998950958,719.9500000476837,True,
RCAEval RE2-OB,checkoutservice_mem/2,checkoutservice,mem,2,1705626077.0,1705625357.0,1705626360.0,1705625357.0000505,1705626345.0556502,1705625357.002,1705626508.963,1705625357.002,1705626345.0556502,719.9979999065399,268.0556502342224,False,truncated common post-onset coverage (268.1 s)
RCAEval RE2-OB,checkoutservice_mem/3,checkoutservice,mem,3,1705627856.0,1705627136.0,1705628576.0,1705627136.0139754,1705628575.9982605,1705627136.013,1705628576.0,1705627136.0139754,1705628575.9982605,719.9860246181488,719.9982604980469,True,
RCAEval RE2-OB,checkoutservice_socket/1,checkoutservice,socket,1,1705656313.0,1705655593.0,1705657033.0,1705655593.0028753,1705657032.8244362,1705655593.0,1705657032.82,1705655593.0028753,1705657032.82,719.997124671936,719.8199999332428,True,
RCAEval RE2-OB,checkoutservice_socket/2,checkoutservice,socket,2,1705660355.0,1705659635.0,1705661075.0,1705659635.2130184,1705661074.9993167,1705659635.212,1705661074.999,1705659635.2130184,1705661074.999,719.7869815826416,719.9990000724792,True,
RCAEval RE2-OB,checkoutservice_socket/3,checkoutservice,socket,3,1705664091.0,1705663371.0,1705664811.0,1705663371.0014622,1705664810.9998572,1705663371.041,1705664810.999,1705663371.041,1705664810.999,719.9590001106262,719.9990000724792,True,
RCAEval RE2-OB,currencyservice_cpu/1,currencyservice,cpu,1,1705682817.0,1705682097.0,1705683537.0,1705682097.0579479,1705683536.9160993,1705682097.057,1705683536.912,1705682097.0579479,1705683536.912,719.9420521259308,719.9119999408722,True,
RCAEval RE2-OB,currencyservice_cpu/2,currencyservice,cpu,2,1705685216.0,1705684496.0,1705685936.0,1705684496.0220973,1705685935.9978578,1705684496.021,1705685936.0,1705684496.0220973,1705685935.9978578,719.9779026508331,719.9978578090668,True,
RCAEval RE2-OB,currencyservice_cpu/3,currencyservice,cpu,3,1705687618.0,1705686898.0,1705688338.0,1705686898.0065117,1705688337.9904811,1705686898.001,1705688337.983,1705686898.0065117,1705688337.983,719.9934883117676,719.9830000400543,True,
RCAEval RE2-OB,currencyservice_delay/1,currencyservice,delay,1,1705702012.0,1705701292.0,1705702732.0,1705701292.0345726,1705702731.962354,1705701292.034,1705702731.966,1705701292.0345726,1705702731.962354,719.9654273986816,719.9623539447784,True,
RCAEval RE2-OB,currencyservice_delay/2,currencyservice,delay,2,1705704343.0,1705703623.0,1705705063.0,1705703623.1079023,1705705062.9750555,1705703623.107,1705705062.988,1705703623.1079023,1705705062.9750555,719.8920977115631,719.9750554561615,True,
RCAEval RE2-OB,currencyservice_delay/3,currencyservice,delay,3,1705706604.0,1705705884.0,1705707324.0,1705705884.0029936,1705707323.9701211,1705705884.062,1705707324.0,1705705884.062,1705707323.9701211,719.9379999637604,719.9701211452484,True,
RCAEval RE2-OB,currencyservice_disk/1,currencyservice,disk,1,1705386669.0,1705385949.0,1705387389.0,1705385949.0758057,1705387388.9731834,1705385949.075,1705387388.975,1705385949.0758057,1705387388.9731834,719.9241943359375,719.9731833934784,True,
RCAEval RE2-OB,currencyservice_disk/2,currencyservice,disk,2,1705692434.0,1705691714.0,1705693154.0,1705691714.001001,1705693153.9964116,1705691714.0,1705693154.0,1705691714.001001,1705693153.9964116,719.9989991188049,719.9964115619659,True,
RCAEval RE2-OB,currencyservice_disk/3,currencyservice,disk,3,1705694833.0,1705694113.0,1705695553.0,1705694113.0021627,1705695552.9910612,1705694113.0,1705695552.99,1705694113.0021627,1705695552.99,719.997837305069,719.9900000095367,True,
